Country,Region,Income Level,Healthcare System Type,Healthcare Expenditure (% GDP),Hospitals per Million People,"Doctors per 1,000 People",Average Life Expectancy,"Infant Mortality Rate (per 1,000)",Universal Healthcare Coverage (%),Vaccination Rate (%),Wait Time for Treatment (Days),Patient Satisfaction Score (1-10),"Medical Staff per 1,000 People","Hospital Beds per 1,000 People",Emergency Response Time (Minutes),Healthcare Quality Index (0-100),Spending Efficiency Score (0-100)
Italy,Western Europe,High,Single-payer,8.611494399,376,5.55923771,77.68234863,2.093989887,101.7495125,76.18644771,93,8.289350644,13.10770051,8.506349128,11,78.07258365,8.826278219
New Zealand,Oceania,High,Single-payer,12.6155497,389,6.196455852,78.60343225,2.709459668,93.70613747,83.46865926,21,7.037639187,12.67786717,6.614027956,19,77.86886411,4.226031761
Uruguay,South America,High,Multi-payer,16.12555721,490,5.533917483,80.62785249,5.709582237,88.30605243,89.63018374,80,9.283252451,12.83623308,6.496005399,18,79.35640852,2.044868151
Colombia,South America,Upper-Middle,Single-payer,9.389140136,252,3.165480635,76.35056811,13.62384903,86.34860572,75.0500151,31,5.523210477,8.426478407,2.854002929,19,64.70969054,6.964580765
Vietnam,East Asia,Lower-Middle,Single-payer,3.245764944,173,1.736539755,73.16438858,22.35083185,55.43103923,75.94709194,61,4.348240255,8.717380502,5.723934445,47,52.63140938,33.33023685
Thailand,East Asia,Upper-Middle,Single-payer,9.104615321,268,2.583027053,74.73042423,8.501059349,70.8983362,71.47070905,37,6.02816489,12.57913419,4.084949439,30,62.79991459,8.418994971
Laos,East Asia,Lower-Middle,Single-payer,6.674654778,231,1.937032968,75.84064617,28.87981955,51.39423104,66.20455776,22,5.512290364,7.671627317,6.250075966,28,53.42834087,13.31826995
Bangladesh,South Asia,Low,Mixed,3.464255265,61,0.687766936,52.60236414,55.18806716,45.53866168,57.24811453,165,4.624286647,6.376572874,1.712588518,79,14.15969,19.52923069
Switzerland,Western Europe,High,Mixed,11.22090426,462,4.798088041,84.05387843,3.511951951,89.68419256,84.5077209,124,9.501742609,15.776038,3.592863679,23,75.6519291,5.813779216
Italy,Western Europe,High,Single-payer,8.276552454,318,4.959737667,77.36051208,2.059410923,102.1745518,74.05593977,97,8.760318908,11.90756883,7.762612245,11,78.71175925,8.926253585
Congo,Africa,Low,Single-payer,1.014081987,32,0.800958456,69.15494021,50.605363,60.60181846,45.87718433,84,3.660327296,5.123698035,2.271705061,85,26.27557894,98.86910526
Lebanon,Middle East,Upper-Middle,Single-payer,8.155267279,318,1.926030029,77.70659162,13.0905619,76.6790246,67.99167142,59,6.869800027,7.924556478,4.564224882,25,63.40879746,8.582740997
Germany,Western Europe,High,Single-payer,11.54713674,412,5.511005833,84.70895324,6.43043426,107.0769761,76.94518735,52,11.15546995,11.58219616,7.780740198,21,85.17626339,6.213044591
Bolivia,South America,Lower-Middle,Single-payer,4.347951263,244,1.519290473,69.79443079,11.29900461,54.55538383,81.23234834,50,4.883804208,7.209449697,2.366875773,39,55.33735105,21.57831108
Uganda,Africa,Low,Multi-payer,2.623893865,70,0.698044171,52.28768915,52.94657047,49.07902667,40.75998488,160,3.078792251,6.575484551,2.203698469,47,11.89926528,25.83044246
Turkey,Middle East,Upper-Middle,Single-payer,7.6175308,272,2.181218192,78.61934366,8.217049379,84.72123793,84.69772418,80,6.101065933,9.790672245,4.790802874,28,70.48783576,11.38547331
Nepal,South Asia,Low,Mixed,3.35029548,89,1.318600064,59.50448402,52.74646329,48.8939834,54.39025272,90,4.079989921,5.83297228,2.416152341,48,22.84674824,21.46096096
Denmark,Western Europe,High,Single-payer,16.30146074,498,7.341478527,82.53040899,1.802530453,93.12133209,83.25674829,75,7.700288513,9.225465195,8.25955948,15,78.57699351,3.326853845
Somalia,Africa,Low,Mixed,2.63494919,62,0.505622349,60.80607071,52.0566768,16.15640808,54.80130671,48,3.129867505,6.225628448,1.453520204,65,19.64659357,32.48318854
Serbia,Eastern Europe,Lower-Middle,Mixed,6.98302458,218,1.562513138,74.51827039,26.62423173,42.76308902,52.78430271,27,5.434538518,5.757183095,3.346460447,42,45.77243428,12.20923399
Angola,Africa,Lower-Middle,Mixed,3.529257911,206,0.879444245,63.02794313,31.24158543,24.44756528,54.93700902,65,5.597128509,8.203572901,3.200743878,37,36.95488375,27.66619524
Thailand,East Asia,Upper-Middle,Single-payer,9.507124946,264,2.615321983,74.37287243,8.374754861,67.98132126,69.76929308,36,6.566034573,12.37201332,3.965128574,31,63.7380444,7.867251127
UK,Western Europe,High,Single-payer,9.295401685,389,6.192888115,80.78089725,2.967566064,101.4347844,87.98813607,82,7.939158079,12.91129613,6.535631989,15,82.55994198,7.064823388
Papua New Guinea,Oceania,Lower-Middle,Single-payer,4.923733935,179,1.321746658,70.41016079,28.58846346,60.04699367,58.37395241,49,5.237223581,6.285743399,3.990505302,32,50.00295708,15.24834572
Philippines,East Asia,Lower-Middle,Multi-payer,3.045855097,234,0.896195439,75.66556445,24.23990782,39.89559801,92.52494197,109,4.999564475,8.002074146,6.161225036,39,52.83363785,32.91551651
Tanzania,Africa,Lower-Middle,Single-payer,2.235887607,76,1.345482363,67.96699011,22.7163511,42.78976459,65.25996351,106,4.629889238,9.527626719,2.015061025,26,43.65063702,42.31542908
Mozambique,Africa,Low,Mixed,1.374982044,120,0.895646626,64.04765921,24.42376752,26.50457197,43.19591583,97,4.221176813,5.383391549,1.061540344,93,30.60799564,73.10273793
Peru,South America,Upper-Middle,Single-payer,8.126762638,272,3.757854807,75.45943756,10.01772814,88.3623309,67.37478809,49,7.168544687,11.06071128,4.40246984,25,65.3108553,9.96931276
Indonesia,East Asia,Lower-Middle,Mixed,6.641591423,173,2.183860723,69.24851726,26.70545257,62.61455826,84.55995674,45,4.647709055,5.099657583,3.399380966,38,49.68875087,13.69202644
Moldova,Eastern Europe,Lower-Middle,Single-payer,5.908171717,134,2.292175049,71.20967336,19.11133165,75.06483986,64.31542745,68,5.033541182,7.557768899,2.832012756,34,53.3885404,12.67826993
Uruguay,South America,High,Multi-payer,18.04368154,510,6.141195143,80.50743517,5.192721418,90.1433018,97.43599566,97,8.115097852,11.46986631,6.381929115,20,79.46121234,1.938896329
Burundi,Africa,Low,Multi-payer,1.387420676,51,0.205322425,67.19985387,40.45529207,26.61154467,52.0194219,96,2.748553211,4.990831425,1.712030116,74,27.00008806,69.21466561
Somalia,Africa,Low,Mixed,2.734911957,54,0.531144081,61.38843138,52.46805075,15.96273541,53.39608571,45,3.126838622,6.367333064,1.339017335,69,21.23841394,33.20346246
Sweden,Western Europe,High,Single-payer,7.659434791,260,6.683488519,81.98102568,6.41457846,108.8236952,91.90274848,103,7.455650901,13.0489029,4.750611285,22,75.68079066,10.99370735
Afghanistan,South Asia,Low,Single-payer,3.885042685,44,0.389011103,67.0951935,29.08904986,38.79906763,31.12944287,155,4.084377641,4.980606422,1.637490697,52,29.1493111,21.62644989
Luxembourg,Western Europe,High,Single-payer,13.00499105,280,2.960484305,84.99859726,7.079977238,91.91533425,74.99912273,35,9.818847266,13.49042263,5.907773282,11,80.3371971,5.361513531
Indonesia,East Asia,Lower-Middle,Mixed,6.451494678,172,2.365141277,69.52744437,26.05649892,64.83688201,88.91298471,44,4.836208779,4.9526553,3.434190552,36,51.60509331,12.5078703
Senegal,Africa,Lower-Middle,Single-payer,2.94936316,138,1.092983525,73.32530505,17.37748795,44.92361322,66.78370242,75,4.626940846,9.403131431,2.021295006,28,47.46575264,32.59664826
Jordan,Middle East,Upper-Middle,Single-payer,6.380767338,167,3.593440473,73.65379346,8.913651129,89.29455411,84.63324296,58,5.625946817,11.10121606,3.444223691,25,62.80513176,14.57933823
Colombia,South America,Upper-Middle,Single-payer,9.125736911,285,3.065966225,76.70029151,13.30999046,82.07881213,80.4999013,31,4.908909216,9.393456771,2.371066006,22,62.74718041,6.806017956
Ethiopia,Africa,Low,Multi-payer,1.232677972,28,0.904570099,70.60206459,41.75252747,25.66499372,43.04567273,112,3.731379718,3.737802579,2.133693355,90,27.35202041,96.0729768
Slovakia,Eastern Europe,Upper-Middle,Single-payer,7.226064518,272,3.174375557,75.88714381,13.51534617,70.67736525,78.44573027,28,6.399026449,10.19028456,4.42430928,20,64.95635646,10.8933694
Turkey,Middle East,Upper-Middle,Single-payer,7.105702356,265,2.10471042,78.99844899,8.326623302,89.01548173,85.92615455,82,6.196377156,9.687679478,3.948786377,28,64.67403567,11.28978652
Ethiopia,Africa,Low,Multi-payer,1.05377629,26,0.934731384,69.525536,43.59871005,26.77869798,42.31044842,109,4.144180549,3.337753599,2.58393497,87,27.14301967,97.87439181
UAE,Middle East,High,Single-payer,8.9269943,536,4.424625792,82.45503145,3.328651768,87.65435477,80.01455114,89,8.28276343,13.45950816,3.546064541,19,75.07840739,10.67334029
Austria,Western Europe,High,Mixed,10.02131072,397,4.405025452,80.62926171,7.668654881,86.73561614,86.0331732,54,7.74955294,12.84702858,6.611036397,18,76.94274995,7.947727397
